date,precip_mm
2012-06-01,102.5594
2012-07-01,196.3012
2012-08-01,209.1226
2012-09-01,180.2588
2012-10-01,60.5598
2012-11-01,38.2561
2012-12-01,17.1617
2013-01-01,27.8858
2013-02-01,16.5903
2013-03-01,120.8518
2013-04-01,175.6365
2013-05-01,133.3845
2013-06-01,150.5278
2013-07-01,222.3773
2013-08-01,225.5569
2013-09-01,124.0078
2013-10-01,99.2962
2013-11-01,72.8871
2013-12-01,9.0668
2014-01-01,20.8837
2014-02-01,61.4064
2014-03-01,100.4026
2014-04-01,102.1896
2014-05-01,160.0845
2014-06-01,95.8758
2014-07-01,122.0558
2014-08-01,186.1837
2014-09-01,147.9237
2014-10-01,106.9328
2014-11-01,57.4139
2014-12-01,12.6264
2015-01-01,11.5502
2015-02-01,14.9468
2015-03-01,61.4802
2015-04-01,91.0158
2015-05-01,117.1064
2015-06-01,148.8592
2015-07-01,136.1313
2015-08-01,132.9646
2015-09-01,142.2531
2015-10-01,87.8796
2015-11-01,70.4147
2015-12-01,18.6097
2016-01-01,44.9895
2016-02-01,32.5046
2016-03-01,77.5271
2016-04-01,246.2666
2016-05-01,179.7439
2016-06-01,111.5302
2016-07-01,127.5538
2016-08-01,118.139
2016-09-01,100.6066
2016-10-01,110.745
2016-11-01,65.9639
2016-12-01,24.0585
2017-01-01,10.9358
2017-02-01,52.8021
2017-03-01,91.0716
2017-04-01,100.5623
2017-05-01,151.7111
2017-06-01,83.5645
2017-07-01,182.3587
2017-08-01,218.4298
2017-09-01,249.1417
2017-10-01,124.3589
2017-11-01,34.7612
2017-12-01,8.7673
2018-01-01,10.5394
2018-02-01,78.6359
2018-03-01,137.3207
2018-04-01,322.5137
2018-05-01,132.8908
2018-06-01,203.9365
2018-07-01,109.0919
2018-08-01,213.3957
2018-09-01,123.9539
2018-10-01,83.6878
2018-11-01,70.7861
2018-12-01,10.4741
2019-01-01,11.5798
2019-02-01,23.2338
2019-03-01,32.0665
2019-04-01,137.2037
2019-05-01,162.2033
2019-06-01,185.3668
2019-07-01,195.3225
2019-08-01,208.1691
2019-09-01,195.087
2019-10-01,194.4888
2019-11-01,88.4817
2019-12-01,28.0822
2020-01-01,35.4568
2020-02-01,36.7655
2020-03-01,141.0235
2020-04-01,246.1709
2020-05-01,146.1119
2020-06-01,139.7278
2020-07-01,179.7065
2020-08-01,229.6847
2020-09-01,158.0928
2020-10-01,118.1029
2020-11-01,29.3977
2020-12-01,20.6566
2021-01-01,12.121
2021-02-01,26.1517
2021-03-01,33.3765
2021-04-01,166.1032
2021-05-01,133.4812
2021-06-01,76.3781
2021-07-01,136.5745
2021-08-01,148.0171
2021-09-01,182.2781
2021-10-01,94.0012
2021-11-01,28.6614
2021-12-01,14.6382
2022-01-01,53.2663
2022-02-01,32.5584
2022-03-01,67.0684
2022-04-01,102.4585
2022-05-01,41.1105
2022-06-01,123.8717
2022-07-01,138.6091
2022-08-01,180.3468
2022-09-01,162.0151
2022-10-01,102.7604
2022-11-01,45.769
2022-12-01,23.2027
2023-01-01,16.2386
2023-02-01,25.4071
2023-03-01,235.5247
2023-04-01,200.1859
2023-05-01,163.3549
2023-06-01,109.2477
2023-07-01,150.2462
2023-08-01,120.2089
2023-09-01,192.0342
2023-10-01,123.7388
2023-11-01,86.927
2023-12-01,17.5859
2024-01-01,27.056
2024-02-01,56.6571
2024-03-01,120.7377
2024-04-01,193.7251
2024-05-01,124.7761
2024-06-01,95.2591
2024-07-01,278.4635
2024-08-01,262.3933
2024-09-01,144.0812
2024-10-01,132.7578
2024-11-01,25.8528
2024-12-01,12.0434
2025-01-01,12.1462
2025-02-01,20.8476
2025-03-01,115.3647
2025-04-01,111.1219
2025-05-01,130.7063
2025-06-01,88.5075
2025-07-01,182.7468
2025-08-01,211.9622
2025-09-01,185.0792
2025-10-01,86.2201
2025-11-01,15.9056
2025-12-01,49.6766
2026-01-01,15.53
2026-02-01,17.9359
2026-03-01,223.6627
